Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Mori, K., Iino, T., Suzuki, K.-I., Yamaguchi, K., Kamagata, Y.","55336285800;15071159100;35231627700;26653932700;16211722800;","Aceticlastic and NaCl-requiring methanogen ""Methanosaeta pelagica"" sp. Nov., isolated from marine tidal flat sediment",2012,"Applied and Environmental Microbiology","78","9",,"3416","3423",,32,"10.1128/AEM.07484-11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861163330&doi=10.1128%2fAEM.07484-11&partnerID=40&md5=385950474c2019c72b149d4a4acb34ff",Article,Open Access,Scopus,2-s2.0-84861163330
"Abrajevitch, A., Kodama, K.","6505932976;7401759848;","Diagenetic sensitivity of paleoenvironmental proxies: A rock magnetic study of Australian continental margin sediments",2012,"Geochemistry, Geophysics, Geosystems","12","5", Q05Z24,"","",,32,"10.1029/2010GC003481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955633739&doi=10.1029%2f2010GC003481&partnerID=40&md5=3ff154ac7df43175d3811963c31c74d4",Article,Open Access,Scopus,2-s2.0-79955633739
"Coleman, S.E., Nikora, V.I., Aberle, J.","7201402717;7006524591;7005725767;","Interpretation of alluvial beds through bed-elevation distribution moments",2011,"Water Resources Research","47","11", W11505,"","",,32,"10.1029/2011WR010672","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80755175377&doi=10.1029%2f2011WR010672&partnerID=40&md5=13029df8bc31547473bed6f42a0cb267",Article,Open Access,Scopus,2-s2.0-80755175377
"Hartmann, J., Moosdorf, N.","35315703300;36508988300;","Chemical weathering rates of silicate-dominated lithological classes and associated liberation rates of phosphorus on the Japanese Archipelago-Implications for global scale analysis",2011,"Chemical Geology","287","3-4",,"125","157",,32,"10.1016/j.chemgeo.2010.12.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952477608&doi=10.1016%2fj.chemgeo.2010.12.004&partnerID=40&md5=b896039346219b0b9f1dd095d19d99f1",Article,Open Access,Scopus,2-s2.0-79952477608
"Kim, M.J., Schwartz, S.Y., Bannister, S.","56122975200;55279711500;7003513759;","Non-volcanic tremor associated with the March 2010 Gisborne slow slip event at the Hikurangi subduction margin, New Zealand",2011,"Geophysical Research Letters","38","14", L14301,"","",,32,"10.1029/2011GL048400","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960499370&doi=10.1029%2f2011GL048400&partnerID=40&md5=a3fb1cb1d2ae7597b64ada848902bbf0",Article,Open Access,Scopus,2-s2.0-79960499370
"Malinverno, A., Pohlman, J.W.","7004741946;7004562019;","Modeling sulfate reduction in methane hydrate-bearing continental margin sediments: Does a sulfate-methane transition require anaerobic oxidation of methane?",2011,"Geochemistry, Geophysics, Geosystems","12","7", Q07006,"","",,32,"10.1029/2011GC003501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960280317&doi=10.1029%2f2011GC003501&partnerID=40&md5=8a7857000efdd24acf7640b927d3fb2e",Article,Open Access,Scopus,2-s2.0-79960280317
"Polyakov, V.O., Nearing, M.A., Nichols, M.H., Scott, R.L., Stone, J.J., McClaran, M.P.","55921147100;7005368793;57203031065;7404342840;7403061539;6603961966;","Long-term runoff and sediment yields from small semiarid watersheds in southern Arizona",2010,"Water Resources Research","46","9", W09512,"","",,32,"10.1029/2009WR009001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957563696&doi=10.1029%2f2009WR009001&partnerID=40&md5=38b6484e7d8a04668ac268c261a9e3d9",Article,Open Access,Scopus,2-s2.0-77957563696
"Bruvoll, V., Kristoffersen, Y., Coakley, B.J., Hopper, J.R.","26642412700;6701787863;6601952477;7201924139;","Hemipelagic deposits on the Mendeleev and northwestern Alpha submarine Ridges in the Arctic Ocean: Acoustic stratigraphy, depositional environment and an inter-ridge correlation calibrated by the ACEX results",2010,"Marine Geophysical Researches","31","3",,"149","171",,32,"10.1007/s11001-010-9094-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650075278&doi=10.1007%2fs11001-010-9094-9&partnerID=40&md5=09a78b06abf43c440363c645f3716a68",Article,Open Access,Scopus,2-s2.0-78650075278
"Turowski, J.M.","23670818800;","Probability distributions of bed load transport rates: A new derivation and comparison with field data",2010,"Water Resources Research","46","8", W08501,"","",,32,"10.1029/2009WR008488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955588211&doi=10.1029%2f2009WR008488&partnerID=40&md5=dc4c6e4ead49bfa87be24715d8848c91",Article,Open Access,Scopus,2-s2.0-77955588211
"Kirkil, G., Constantinescu, G.","12039334900;7005793424;","Nature of flow and turbulence structure around an in-stream vertical plate in a shallow channel and the implications for sediment erosion",2009,"Water Resources Research","45","6", W06412,"","",,32,"10.1029/2008WR007363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70049106326&doi=10.1029%2f2008WR007363&partnerID=40&md5=44dbf082b1f079eac265e6c04436af9e",Article,Open Access,Scopus,2-s2.0-70049106326
