Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Gómez Barreiro, J., Wenk, H.-R., Vogel, S.","10143115600;35514583800;7202951795;","Texture and elastic anisotropy of a mylonitic anorthosite from the Morin Shear Zone (Quebec, Canada)",2015,"Journal of Structural Geology","71",,,"100","111",,1,"10.1016/j.jsg.2014.07.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027917028&doi=10.1016%2fj.jsg.2014.07.021&partnerID=40&md5=83e2d14397f3d64856f3adac84fe3cde",Article,Open Access,Scopus,2-s2.0-85027917028
"Shalaby, M.S., El-Rafie, S.","55822316800;35618505800;","Struvite precipitation and phosphorous removal from urine synthetic solution: Reaction kinetic study",2015,"Bulletin of Chemical Reaction Engineering and Catalysis","10","1",,"88","97",,1,"10.9767/bcrec.10.1.7172.88-97","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926444022&doi=10.9767%2fbcrec.10.1.7172.88-97&partnerID=40&md5=051dd1c5560bfd4ba0d80f11f9fd1e2b",Article,Open Access,Scopus,2-s2.0-84926444022
"Saternus, M., Merder, T., Pieprzyca, J.","26656303800;18437602000;6507486189;","The influence of impeller geometry on the gas bubbles dispersion in URO-200 reactor - RTD curves",2015,"Archives of Metallurgy and Materials","60","4",,"2887","2893",,1,"10.1515/amm-2015-0461","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959010555&doi=10.1515%2famm-2015-0461&partnerID=40&md5=786749a5252b6c7c8d4295bd11a989cc",Article,Open Access,Scopus,2-s2.0-84959010555
"Chiarabba, C., De Gori, P., Latorre, D., Amato, A.","7004265898;6507416086;6602947670;35894557300;","Crustal structure in the area of the 2002 Molise earthquake: Clues for the evolution of the southern Apennines",2014,"Tectonics","33","5",,"741","755",,1,"10.1002/2013TC003406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902581976&doi=10.1002%2f2013TC003406&partnerID=40&md5=d111f8d2b3c91c1317d10f1cfd924b39",Article,Open Access,Scopus,2-s2.0-84902581976
"Vařilová, Z., Zvelebil, J., Hubatka, F., Beneš, V., Frolka, J.","16032437600;6602528815;6507240330;57197259592;56266626500;","The application of non-destructive methods to assess the stability of the national nature monument of the Pravčická Brána Rock Arch, Czech Republic",2014,"Acta Universitatis Carolinae, Geographica","49","1",,"49","59",,1,"10.14712/23361980.2014.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904214517&doi=10.14712%2f23361980.2014.5&partnerID=40&md5=709508ec35e506b3b6d147539df9a834",Article,Open Access,Scopus,2-s2.0-84904214517
"Jarsve, E.M., Eidvin, T., Nystuen, J.P., Faleide, J.I., Gabrielsen, R.H., Thyberg, B.I.","37107837800;6602783481;7003950297;6603770949;7003945485;6602346143;","The oligocene succession in the Eastern North Sea: Basin development and depositional systems",2014,"Geological Magazine","108","4",,"","",,1,"10.1017/S0016756814000570","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911999197&doi=10.1017%2fS0016756814000570&partnerID=40&md5=4629b9da23f4214f2062fa06db2225db",Article,Open Access,Scopus,2-s2.0-84911999197
"Petronis, M.S., O'Driscoll, B.","7801552699;9239117900;","Emplacement of the early Miocene Pinto Peak intrusion, Southwest Utah, USA",2013,"Geochemistry, Geophysics, Geosystems","14","12",,"5128","5145",,1,"10.1002/2013GC004930","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893257608&doi=10.1002%2f2013GC004930&partnerID=40&md5=a72ae8f63f29645c0209b12ab7cac640",Article,Open Access,Scopus,2-s2.0-84893257608
"Silva, A.J.C.A., Simões, L.S.A.","56007763900;7005438724;","Structural characterization of the south portion of the Guarinos Greenstone Belt, GO [Caracterização estrutural da porção sul do Greenstone Belt de Guarinos, GO]",2013,"Brazilian Journal of Geology","43","4",,"623","638",,1,"10.5327/Z2317-48892013000400004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892659751&doi=10.5327%2fZ2317-48892013000400004&partnerID=40&md5=2959446a197522a6f5fec8fd832cdca3",Article,Open Access,Scopus,2-s2.0-84892659751
"Bial, J., Trepmann, C.A.","56022149500;6507588145;","The microstructural record of porphyroclasts and matrix of partly serpentinized peridotite mylonites &amp;ndash; From brittle and crystal-plastic deformation to dissolution-precipitation creep",2013,"Solid Earth","4","2",,"315","330",,1,"10.5194/se-4-315-2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893275652&doi=10.5194%2fse-4-315-2013&partnerID=40&md5=f506fac1fa4f9f3abae1f6d56c3a9bb2",Article,Open Access,Scopus,2-s2.0-84893275652
"Kao, C.-Y., Hong, E., Yu, H.-S., Wong, S.","55620756100;7102538357;16205592200;55621184500;","Stratigraphic architecture and lithofacies analysis: Evidence for development of the pliocene-holocene taichung foreland basin, central Taiwan",2013,"Terrestrial, Atmospheric and Oceanic Sciences","24","1",,"41","58",,1,"10.3319/TAO.2012.09.11.01(TT)","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874867533&doi=10.3319%2fTAO.2012.09.11.01%28TT%29&partnerID=40&md5=49eb426eb42c75045b7c0060ace9c648",Article,Open Access,Scopus,2-s2.0-84874867533
"De Souza Marinho, M., De Souza Gomes, C.J.","56112547000;56111898000;","Structural evolution of AU, AG and PB lode occurrences of serrita and parnamirim, pernambuco, Brazil",2013,"Brazilian Journal of Geology","43","2",,"211","222",,1,"10.5327/Z2317-48892013000200002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898435429&doi=10.5327%2fZ2317-48892013000200002&partnerID=40&md5=4c9eacb87db2129972e9982d89e6d2e1",Article,Open Access,Scopus,2-s2.0-84898435429
"O'Donnell, J.P., Adams, A., Nyblade, A.A., Mulibo, G.D., Tugume, F.","57109834000;34167468500;7004179936;36091615300;6504206287;","The uppermost mantle shear wave velocity structure of eastern Africa from Rayleigh wave tomography: Constraints on rift evolution",2013,"Geophysical Journal International","194","2",,"961","978",,1,"10.1093/gji/ggt135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012890374&doi=10.1093%2fgji%2fggt135&partnerID=40&md5=81429e4f261697f89ab73badafad9f9c",Article,Open Access,Scopus,2-s2.0-85012890374
"Garcia, S.F.D.M., Filho, A.D., Lamotte, D.F.D., Rudkiewicz, J.-L.","55235899600;12141674400;49963860400;6603109112;","Analysis of salt volumes in structural restoration: An example of Santos Basin [Análise de volumes de sal em restauração estrutural: Um exemplo na bacia de Santos]",2012,"Revista Brasileira de Geociencias","42","2",,"433","450",,1,"10.5327/Z0375-75362012000200016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877125997&doi=10.5327%2fZ0375-75362012000200016&partnerID=40&md5=e9753294c11bb0a463f08439d8949f8f",Article,Open Access,Scopus,2-s2.0-84877125997
"Vlček, V., Skála, R., Goliáš, V., Drahokoupil, J., Čížek, J., Strnad, L., Ederová, J.","33468051100;6603703990;6506562321;22991938600;25648995100;57194220603;6507380455;","Effect of natural irradiation in fluorites: Possible implications for nuclear waste management?",2012,"Journal of Geosciences","57","1",,"45","52",,1,"10.3190/jgeosci.110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859798472&doi=10.3190%2fjgeosci.110&partnerID=40&md5=53d76f62174a8e506a0be0324aee401d",Article,Open Access,Scopus,2-s2.0-84859798472
"Sedlák, J., Gnojek, I., Verner, K., Franěk, J., Zabadal, S., Motschka, K., Slovák, j","24069410900;6603171774;8518849200;12243552600;24069421700;8327058300;46661454800;","Geophysical and structural pattern of the knížecí stolec pluton and its host rocks in the south-western part of the Moldanubian zone, Bohemian Massif",2011,"Journal of Geosciences","56","2",,"143","162",,1,"10.3190/jgeosci.096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960514541&doi=10.3190%2fjgeosci.096&partnerID=40&md5=3df267efa49859ca20a2a580460313db",Article,Open Access,Scopus,2-s2.0-79960514541
