Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"O'Dea, A., Jackson, J.B.C., Fortunato, H., Smith, J.T., D'Croz, L., Johnson, K.G., Todd, J.A.","6602727200;35606519600;6507031172;14051098300;56253906800;55697127600;7402060017;","Environmental change preceded Caribbean extinction by 2 million years",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","13",,"5501","5506",,117,"10.1073/pnas.0610947104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248392242&doi=10.1073%2fpnas.0610947104&partnerID=40&md5=77a9ff165bdafac86788cffbaa50a3dd",Article,Open Access,Scopus,2-s2.0-34248392242
"Stiller, M., Green, R.E., Ronan, M., Simons, J.F., Du, L., He, W., Egholm, M., Rothberg, J.M., Keats, S.G., Ovodov, N.D., Antipina, E.E., Baryshnikov, G.F., Kuzmin, Y.V., Vasilevski, A.A., Wuenschell, G.E., Termini, J., Hofreiter, M., Jaenicke-Després, V., Pääbo, S.","21834940400;36023707900;7006671330;7202348561;36191558700;57198465395;7003454634;35450975200;14622449800;14623183200;14026606100;6701669211;7005688056;6505596326;6507559509;55911831000;6701450663;14622674500;7006151134;","Patterns of nucleotide misincorporations during enzymatic amplification and direct large-scale sequencing of ancient DNA",2006,"Proceedings of the National Academy of Sciences of the United States of America","103","37",,"13578","13584",,116,"10.1073/pnas.0605327103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748783644&doi=10.1073%2fpnas.0605327103&partnerID=40&md5=bf2377ad3ff6d56299d9a595a5146745",Article,Open Access,Scopus,2-s2.0-33748783644
"Smith, A.B., Pisani, D., Mackenzie-Dodds, J.A., Stockley, B., Webster, B.L., Littlewood, D.T.J.","7406749968;7003342002;13605989700;7801353672;10838967000;19836442500;","Testing the molecular clock: Molecular and paleontological estimates of divergence times in the echinoidea (Echinodermata)",2006,"Molecular Biology and Evolution","23","10",,"1832","1851",,115,"10.1093/molbev/msl039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748793941&doi=10.1093%2fmolbev%2fmsl039&partnerID=40&md5=dd6d9f0cbd4953c380a305d73c47ab09",Article,Open Access,Scopus,2-s2.0-33748793941
"Ferring, R., Oms, O., Agustí, J., Berna, F., Nioradze, M., Shelia, T., Tappen, M., Vekua, A., Zhvania, D., Lordkipanidze, D.","6505819559;6602684570;7003703213;7801410989;6603433617;35751666000;6603296388;6602374411;35751582800;57203624369;","Earliest human occupations at Dmanisi (Georgian Caucasus) dated to 1.85-1.78 Ma",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","26",,"10432","10436",,114,"10.1073/pnas.1106638108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960572169&doi=10.1073%2fpnas.1106638108&partnerID=40&md5=1e7ec1eee1c0738af4f5e34862bfa7c4",Article,Open Access,Scopus,2-s2.0-79960572169
"Morgan, T.J.H., Uomini, N.T., Rendell, L.E., Chouinard-Thuly, L., Street, S.E., Lewis, H.M., Cross, C.P., Evans, C., Kearney, R., De La Torre, I., Whiten, A., Laland, K.N.","41561858700;25961024600;6701331373;56520312900;55995254800;16313014500;36677241300;55376075100;56519400500;6602367706;7004657792;7003969474;","Experimental evidence for the co-evolution of hominin tool-making teaching and language",2015,"Nature Communications","6",, 6029,"","",,111,"10.1038/ncomms7029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922986381&doi=10.1038%2fncomms7029&partnerID=40&md5=80071a0480ebce3303e12e24a06b0e8b",Article,Open Access,Scopus,2-s2.0-84922986381
"Wilson, J.A., D'Emic, M.D., Ikejiri, T., Moacdieh, E.M., Whitlock, J.A.","7407983842;26532443000;16549379200;37005679800;7102828707;","A nomenclature for vertebral fossae in sauropods and other saurischian dinosaurs",2011,"PLoS ONE","6","2", e17114,"","",,111,"10.1371/journal.pone.0017114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952207072&doi=10.1371%2fjournal.pone.0017114&partnerID=40&md5=1d72258970a67fb3c6ddcbccfccfaec8",Article,Open Access,Scopus,2-s2.0-79952207072
"Bylesjö, M., Segura, V., Soolanayakanahally, R.Y., Rae, A.M., Trygg, J., Gustafsson, P., Jansson, S., Street, N.R.","9042180600;12784789800;24538143100;7103028292;6603676025;7005371473;26643215000;8506956100;","LAMINA: A tool for rapid quantification of leaf size and shape parameters",2008,"BMC Plant Biology","8",, 82,"","",,111,"10.1186/1471-2229-8-82","https://www.scopus.com/inward/record.uri?eid=2-s2.0-49249101759&doi=10.1186%2f1471-2229-8-82&partnerID=40&md5=b7683bd42a29ced10727085358b3aacf",Article,Open Access,Scopus,2-s2.0-49249101759
"Kirby, M.X., Jones, D.S., MacFadden, B.J.","36488009700;7407680890;7003329667;","Lower miocene stratigraphy along the Panama Canal and its bearing on the Central American Peninsula",2008,"PLoS ONE","3","7", e2791,"","",,111,"10.1371/journal.pone.0002791","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51349155559&doi=10.1371%2fjournal.pone.0002791&partnerID=40&md5=ac2b4c883f0c6f43cdc327a72b22282b",Article,Open Access,Scopus,2-s2.0-51349155559
"Trinkaus, E.","7005369128;","European early modern humans and the fate of the Neandertals",2007,"Proceedings of the National Academy of Sciences of the United States of America","104","18",,"7367","7372",,110,"10.1073/pnas.0702214104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250668421&doi=10.1073%2fpnas.0702214104&partnerID=40&md5=d663f46943c8c8654a5ce0cf3afd2906",Article,Open Access,Scopus,2-s2.0-34250668421
"Donges, J.F., Donner, R.V., Trauth, M.H., Marwan, N., Schellnhuber, H.-J., Kurths, J.","30867559100;23396313000;6701361414;6602268525;7003595192;35317963900;","Nonlinear detection of paleoclimate-variability transitions possibly related to human evolution",2011,"Proceedings of the National Academy of Sciences of the United States of America","108","51",,"20422","20427",,109,"10.1073/pnas.1117052108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855494898&doi=10.1073%2fpnas.1117052108&partnerID=40&md5=8f3c207e111199dcf040158b943e1cd7",Article,Open Access,Scopus,2-s2.0-84855494898
"Rust, J., Singh, H., Rana, R.S., McCann, T., Singh, L., Anderson, K., Sarkar, N., Nascimbene, P.C., Stebner, F., Thomas, J.C., Kraemer, M.S., Williams, C.J., Engel, M.S., Sahni, A., Grimaldi, D.","24282141400;35551594000;35608521000;35584012500;23010812500;7404580052;37021818500;13806383100;37021816100;37022020600;14021496100;57203516834;7102289209;7006136373;35279857000;","Biogeographic and evolutionary implications of a diverse paleobiota in amber from the early Eocene of India",2010,"Proceedings of the National Academy of Sciences of the United States of America","107","43",,"18360","18365",,109,"10.1073/pnas.1007407107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649869009&doi=10.1073%2fpnas.1007407107&partnerID=40&md5=6d896b0d8c7bb8742e70d889dc7622a4",Article,Open Access,Scopus,2-s2.0-78649869009
"Bunce, M., Worthy, T.H., Phillips, M.J., Holdaway, R.N., Willerslev, E., Haile, J., Shapiro, B., Scofield, R.P., Drummond, A., Kamp, P.J.J., Cooper, A.","55160482300;7006978638;7402769978;7006117314;56273625000;35503255600;7402300615;7005409258;26643297100;7004977895;35263632400;","The evolutionary history of the extinct ratite moa and New Zealand Neogene paleogeography",2009,"Proceedings of the National Academy of Sciences of the United States of America","106","49",,"20646","20651",,108,"10.1073/pnas.0906660106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-73949145186&doi=10.1073%2fpnas.0906660106&partnerID=40&md5=6ce1b36718746d904bda62edcad5cebc",Article,Open Access,Scopus,2-s2.0-73949145186
